"","state","solution_level","fw_kg_per_capita","scenario","conversion_factor","diversion_potential_kg_per_capita"
"363","ME","Prevention",288.48483,"baseline","high",1.64508689018353
"364","ME","Prevention",288.48483,"baseline","low",0.822543445091765
"365","ME","Rescue",288.48483,"alternative","high",3.45952989957534
"366","ME","Rescue",288.48483,"alternative","low",1.72976494978767
"367","ME","Rescue",288.48483,"baseline","high",1.76847398871514
"368","ME","Rescue",288.48483,"baseline","low",0.884236994357571
"369","ME","Animal Feed",288.48483,"alternative","high",3.08192341318638
"370","ME","Animal Feed",288.48483,"alternative","low",1.54096170659319
"371","ME","Animal Feed",288.48483,"baseline","high",3.08192341318638
"372","ME","Animal Feed",288.48483,"baseline","low",1.54096170659319
"373","ME","Recycling",288.48483,"alternative","high",21.2283577289872
"374","ME","Recycling",288.48483,"alternative","low",10.6141788644936
"375","ME","Recycling",288.48483,"baseline","high",18.3973788102967
"376","ME","Recycling",288.48483,"baseline","low",9.19868940514836
"377","ME","All",288.48483,"alternative","high",32.991714022615
"378","ME","All",288.48483,"alternative","low",16.4958570113075
"379","ME","All",288.48483,"baseline","high",24.8928631023818
"380","ME","All",288.48483,"baseline","low",12.4464315511909
"381","MD","Prevention",190.50885,"alternative","high",0.650999809113406
"382","MD","Prevention",190.50885,"alternative","low",0.325499904556703
"383","MD","Prevention",190.50885,"baseline","high",0.201909150885386
"384","MD","Prevention",190.50885,"baseline","low",0.100954575442693
"385","MD","Rescue",190.50885,"alternative","high",1.87358226778281
"386","MD","Rescue",190.50885,"alternative","low",0.936791133891404
"387","MD","Rescue",190.50885,"baseline","high",1.12023365895636
"388","MD","Rescue",190.50885,"baseline","low",0.560116829478178
"389","MD","Animal Feed",190.50885,"alternative","high",1.47829100920978
"390","MD","Animal Feed",190.50885,"alternative","low",0.739145504604888
"391","MD","Animal Feed",190.50885,"baseline","high",1.47829100920978
"392","MD","Animal Feed",190.50885,"baseline","low",0.739145504604888
"393","MD","Recycling",190.50885,"alternative","high",30.8087622349795
"394","MD","Recycling",190.50885,"alternative","low",15.4043811174898
"395","MD","Recycling",190.50885,"baseline","high",26.5201263559222
"396","MD","Recycling",190.50885,"baseline","low",13.2600631779611
"397","MD","All",190.50885,"alternative","high",34.8116353210855
"398","MD","All",190.50885,"alternative","low",17.4058176605428
"399","MD","All",190.50885,"baseline","high",29.3205601749737
"400","MD","All",190.50885,"baseline","low",14.6602800874869
"401","MA","Prevention",215.91003,"alternative","high",0.74951770389935
"402","MA","Prevention",215.91003,"alternative","low",0.374758851949675
"403","MA","Prevention",215.91003,"baseline","high",0.234466489048316
"404","MA","Prevention",215.91003,"baseline","low",0.117233244524158
"405","MA","Rescue",215.91003,"alternative","high",1.96942316656563
"406","MA","Rescue",215.91003,"alternative","low",0.984711583282816
"407","MA","Rescue",215.91003,"baseline","high",1.1743458488654
"408","MA","Rescue",215.91003,"baseline","low",0.587172924432699
"409","MA","Animal Feed",215.91003,"alternative","high",0.295179066166821
"410","MA","Animal Feed",215.91003,"alternative","low",0.14758953308341
"411","MA","Animal Feed",215.91003,"baseline","high",0.295179066166821
"412","MA","Animal Feed",215.91003,"baseline","low",0.14758953308341
"413","MA","Recycling",215.91003,"alternative","high",53.0670298935647
"414","MA","Recycling",215.91003,"alternative","low",26.5335149467824
"415","MA","Recycling",215.91003,"baseline","high",45.3623427224937
"416","MA","Recycling",215.91003,"baseline","low",22.6811713612469
"417","MA","All",215.91003,"alternative","high",56.0811498301965
"418","MA","All",215.91003,"alternative","low",28.0405749150983
"419","MA","All",215.91003,"baseline","high",47.0663341265742
"420","MA","All",215.91003,"baseline","low",23.5331670632871
"421","MI","Prevention",242.218395,"alternative","high",0.678431523265787
"422","MI","Prevention",242.218395,"alternative","low",0.339215761632894
"423","MI","Prevention",242.218395,"baseline","high",0.226748462506724
"424","MI","Prevention",242.218395,"baseline","low",0.113374231253362
